 TRIAL	 FASE	  COND	 RESP	 INTERVAL	OBS 
0	180	1	1	700	jlm
1	360	1	1	3000	jlm
2	180	-1	0	3000	jlm
3	-60	1	0	200	jlm
4	120	-1	0	1500	jlm
5	240	1	0	700	jlm
6	-60	-1	0	3000	jlm
7	180	1	1	200	jlm
8	0	-1	0	200	jlm
9	420	1	1	1500	jlm
10	360	-1	1	200	jlm
11	0	-1	0	3000	jlm
12	60	-1	0	200	jlm
13	0	-1	0	1500	jlm
14	420	-1	1	200	jlm
15	-60	-1	0	700	jlm
16	60	1	0	200	jlm
17	0	1	0	1500	jlm
18	180	-1	0	700	jlm
19	360	1	1	200	jlm
20	360	-1	1	700	jlm
21	120	1	0	1500	jlm
22	0	1	0	700	jlm
23	-60	1	0	3000	jlm
24	240	-1	1	200	jlm
25	120	-1	0	200	jlm
26	300	-1	1	700	jlm
27	240	1	1	3000	jlm
28	360	1	1	1500	jlm
29	300	1	1	200	jlm
30	180	1	1	3000	jlm
31	300	-1	0	1500	jlm
32	120	1	0	200	jlm
33	420	1	1	200	jlm
34	300	1	1	3000	jlm
35	300	1	0	700	jlm
36	60	1	0	1500	jlm
37	300	-1	0	3000	jlm
38	300	-1	1	200	jlm
39	420	1	1	700	jlm
40	-60	-1	0	1500	jlm
41	240	-1	0	1500	jlm
42	60	1	0	3000	jlm
43	180	-1	0	200	jlm
44	420	-1	1	1500	jlm
45	240	1	1	1500	jlm
46	0	1	0	3000	jlm
47	60	-1	0	1500	jlm
48	60	1	0	700	jlm
49	300	1	1	1500	jlm
50	60	-1	0	3000	jlm
51	420	-1	1	700	jlm
52	120	-1	0	3000	jlm
53	420	-1	1	3000	jlm
54	240	1	1	200	jlm
55	120	1	0	3000	jlm
56	60	-1	0	700	jlm
57	-60	-1	0	200	jlm
58	360	-1	1	1500	jlm
59	0	1	0	200	jlm
60	120	1	0	700	jlm
61	120	-1	0	700	jlm
62	0	-1	0	700	jlm
63	240	-1	1	3000	jlm
64	360	1	0	700	jlm
65	-60	1	0	1500	jlm
66	180	-1	0	1500	jlm
67	180	1	1	1500	jlm
68	-60	1	0	700	jlm
69	240	-1	1	700	jlm
70	420	1	1	3000	jlm
71	360	-1	1	3000	jlm
0	360	1	1	1500	jlm
1	-60	-1	0	1500	jlm
2	240	1	1	1500	jlm
3	360	-1	1	700	jlm
4	360	-1	1	1500	jlm
5	0	1	0	700	jlm
6	-60	1	0	3000	jlm
7	240	1	0	3000	jlm
8	-60	1	0	700	jlm
9	60	-1	0	200	jlm
10	180	1	0	3000	jlm
11	300	-1	1	1500	jlm
12	0	-1	0	200	jlm
13	240	-1	0	700	jlm
14	60	1	0	700	jlm
15	180	-1	1	200	jlm
16	420	1	1	700	jlm
17	360	-1	1	3000	jlm
18	0	1	0	3000	jlm
19	-60	1	0	1500	jlm
20	240	-1	0	1500	jlm
21	120	-1	0	1500	jlm
22	60	-1	0	700	jlm
23	240	1	0	200	jlm
24	0	1	0	1500	jlm
25	360	1	1	700	jlm
26	60	-1	0	3000	jlm
27	420	-1	0	1500	jlm
28	-60	-1	0	3000	jlm
29	420	-1	1	200	jlm
30	180	1	0	700	jlm
31	300	-1	1	200	jlm
32	300	1	1	1500	jlm
33	240	1	0	700	jlm
34	300	-1	1	3000	jlm
35	120	1	0	200	jlm
36	0	-1	0	3000	jlm
37	120	1	0	3000	jlm
38	60	1	0	3000	jlm
39	300	-1	0	700	jlm
40	120	-1	0	700	jlm
41	180	1	0	1500	jlm
42	120	-1	0	200	jlm
43	180	1	0	200	jlm
44	120	-1	0	3000	jlm
45	60	-1	0	1500	jlm
46	0	-1	0	700	jlm
47	-60	-1	0	700	jlm
48	180	-1	0	3000	jlm
49	300	1	1	200	jlm
50	360	1	1	200	jlm
51	60	1	0	1500	jlm
52	120	1	0	1500	jlm
53	300	1	1	700	jlm
54	120	1	0	700	jlm
55	420	-1	0	3000	jlm
56	0	1	0	200	jlm
57	240	-1	0	3000	jlm
58	360	-1	1	200	jlm
59	420	1	1	200	jlm
60	0	-1	0	1500	jlm
61	300	1	1	3000	jlm
62	420	-1	1	700	jlm
63	60	1	0	200	jlm
64	180	-1	0	700	jlm
65	420	1	1	1500	jlm
66	240	-1	0	200	jlm
67	180	-1	0	1500	jlm
68	420	1	1	3000	jlm
69	-60	1	0	200	jlm
70	-60	-1	0	200	jlm
71	360	1	1	3000	jlm
0	360	1	1	700	jlm
1	180	-1	0	700	jlm
2	120	1	0	3000	jlm
3	180	1	0	3000	jlm
4	420	-1	1	200	jlm
5	0	-1	0	200	jlm
6	120	-1	0	3000	jlm
7	60	1	0	700	jlm
8	120	-1	0	700	jlm
9	300	1	0	3000	jlm
10	300	1	1	200	jlm
11	120	-1	0	200	jlm
12	300	-1	0	1500	jlm
13	240	1	0	200	jlm
14	-60	1	0	3000	jlm
15	0	-1	0	3000	jlm
16	120	-1	0	1500	jlm
17	180	1	0	1500	jlm
18	-60	-1	0	3000	jlm
19	240	-1	0	3000	jlm
20	360	1	0	3000	jlm
21	300	-1	1	700	jlm
22	60	-1	0	200	jlm
23	360	1	1	200	jlm
24	360	-1	0	1500	jlm
25	60	1	0	200	jlm
26	180	-1	1	200	jlm
27	-60	-1	0	1500	jlm
28	420	-1	1	700	jlm
29	-60	1	0	200	jlm
30	360	1	0	1500	jlm
31	60	1	0	3000	jlm
32	300	-1	1	200	jlm
33	360	-1	1	200	jlm
34	-60	1	0	700	jlm
35	240	1	0	700	jlm
36	0	-1	0	1500	jlm
37	-60	-1	0	200	jlm
38	120	1	0	1500	jlm
39	240	-1	1	700	jlm
40	120	1	0	200	jlm
41	420	1	1	200	jlm
42	420	-1	1	1500	jlm
43	120	1	0	700	jlm
44	300	-1	0	3000	jlm
45	0	1	0	700	jlm
46	300	1	1	700	jlm
47	420	1	1	1500	jlm
48	240	1	1	1500	jlm
49	0	1	0	3000	jlm
50	-60	-1	0	700	jlm
51	240	-1	0	1500	jlm
52	0	1	0	1500	jlm
53	60	-1	0	1500	jlm
54	360	-1	1	3000	jlm
55	60	1	0	1500	jlm
56	180	-1	0	3000	jlm
57	300	1	0	1500	jlm
58	180	1	1	700	jlm
59	60	-1	0	3000	jlm
60	360	-1	1	700	jlm
61	0	1	0	200	jlm
62	180	-1	0	1500	jlm
63	240	1	0	3000	jlm
64	420	1	1	700	jlm
65	180	1	0	200	jlm
66	420	1	1	3000	jlm
67	240	-1	1	200	jlm
68	0	-1	0	700	jlm
69	60	-1	0	700	jlm
70	420	-1	1	3000	jlm
71	-60	1	0	1500	jlm
0	120	1	1	3000	jlm
1	300	1	1	700	jlm
2	0	1	0	3000	jlm
3	0	-1	0	200	jlm
4	240	-1	1	700	jlm
5	0	1	0	1500	jlm
6	180	-1	0	200	jlm
7	60	-1	0	3000	jlm
8	0	-1	0	1500	jlm
9	300	-1	0	1500	jlm
10	60	1	0	200	jlm
11	60	1	0	700	jlm
12	0	-1	0	3000	jlm
13	120	-1	0	1500	jlm
14	420	-1	0	1500	jlm
15	120	-1	0	200	jlm
16	360	-1	1	700	jlm
17	300	-1	1	3000	jlm
18	120	-1	0	700	jlm
19	420	1	1	700	jlm
20	180	1	0	1500	jlm
21	240	1	1	1500	jlm
22	420	-1	1	200	jlm
23	420	-1	1	700	jlm
24	420	1	1	1500	jlm
25	360	1	1	700	jlm
26	180	-1	0	700	jlm
27	360	-1	0	1500	jlm
28	120	-1	0	3000	jlm
29	360	-1	1	200	jlm
30	-60	1	0	200	jlm
31	360	-1	1	3000	jlm
32	120	1	0	700	jlm
33	120	1	0	1500	jlm
34	180	-1	0	1500	jlm
35	240	-1	0	1500	jlm
36	300	1	1	3000	jlm
37	-60	-1	0	1500	jlm
38	-60	-1	0	3000	jlm
39	180	1	1	200	jlm
40	60	1	0	3000	jlm
41	300	-1	1	200	jlm
42	-60	1	0	700	jlm
43	60	-1	0	200	jlm
44	360	1	1	200	jlm
45	60	1	0	1500	jlm
46	180	-1	0	3000	jlm
47	180	1	1	700	jlm
48	300	-1	1	700	jlm
49	0	-1	0	700	jlm
50	60	-1	0	700	jlm
51	-60	1	0	3000	jlm
52	420	1	1	200	jlm
53	0	1	0	200	jlm
54	0	1	0	700	jlm
55	240	1	1	700	jlm
56	180	1	1	3000	jlm
57	240	-1	1	3000	jlm
58	-60	-1	0	700	jlm
59	-60	1	0	1500	jlm
60	240	-1	0	200	jlm
61	-60	-1	0	200	jlm
62	120	1	1	200	jlm
63	240	1	1	3000	jlm
64	360	1	1	1500	jlm
65	360	1	1	3000	jlm
66	300	1	1	1500	jlm
67	300	1	1	200	jlm
68	420	-1	0	3000	jlm
69	420	1	1	3000	jlm
70	60	-1	0	1500	jlm
71	240	1	1	200	jlm
0	420	1	1	700	jlm
1	180	1	0	1500	jlm
2	-60	-1	0	3000	jlm
3	240	-1	0	3000	jlm
4	60	1	0	3000	jlm
5	360	1	1	3000	jlm
6	120	1	0	200	jlm
7	420	1	1	200	jlm
8	-60	1	0	700	jlm
9	180	1	1	3000	jlm
10	180	1	0	200	jlm
11	120	1	1	1500	jlm
12	0	1	0	700	jlm
13	0	1	0	1500	jlm
14	120	-1	0	700	jlm
15	420	-1	1	1500	jlm
16	300	1	1	700	jlm
17	120	1	0	700	jlm
18	-60	-1	0	700	jlm
19	420	1	1	1500	jlm
20	360	-1	1	200	jlm
21	360	1	1	700	jlm
22	120	-1	0	1500	jlm
23	240	1	1	700	jlm
24	-60	-1	0	200	jlm
25	60	-1	0	1500	jlm
26	180	-1	0	700	jlm
27	300	1	1	200	jlm
28	120	-1	0	200	jlm
29	60	1	0	200	jlm
30	-60	-1	0	1500	jlm
31	0	-1	0	1500	jlm
32	180	1	0	700	jlm
33	240	-1	0	700	jlm
34	420	1	1	3000	jlm
35	-60	1	0	200	jlm
36	0	-1	0	700	jlm
37	240	1	1	1500	jlm
38	60	1	0	1500	jlm
39	420	-1	1	700	jlm
40	300	-1	0	200	jlm
41	300	1	1	1500	jlm
42	360	1	1	1500	jlm
43	60	-1	0	200	jlm
44	300	-1	0	3000	jlm
45	240	-1	0	1500	jlm
46	0	1	0	3000	jlm
47	240	-1	1	200	jlm
48	0	-1	0	3000	jlm
49	180	-1	0	200	jlm
50	0	1	0	200	jlm
51	240	1	1	3000	jlm
52	420	-1	1	200	jlm
53	300	-1	1	700	jlm
54	60	-1	0	700	jlm
55	360	-1	1	1500	jlm
56	120	-1	0	3000	jlm
57	240	1	1	200	jlm
58	-60	1	0	1500	jlm
59	360	-1	0	700	jlm
60	-60	1	0	3000	jlm
61	300	1	1	3000	jlm
62	420	-1	1	3000	jlm
63	60	-1	0	3000	jlm
64	120	1	0	3000	jlm
65	300	-1	1	1500	jlm
66	180	-1	0	1500	jlm
67	360	1	1	200	jlm
68	180	-1	0	3000	jlm
69	0	-1	0	200	jlm
70	60	1	0	700	jlm
71	360	-1	0	3000	jlm
0	0	-1	0	700	jlm
1	240	1	0	1500	jlm
2	180	1	1	200	jlm
3	0	-1	0	200	jlm
4	420	1	1	1500	jlm
5	180	-1	0	3000	jlm
6	300	1	1	1500	jlm
7	420	1	1	700	jlm
8	-60	-1	0	1500	jlm
9	360	1	1	200	jlm
10	300	-1	0	1500	jlm
11	240	1	0	200	jlm
12	60	1	1	200	jlm
13	360	-1	1	200	jlm
14	360	1	1	1500	jlm
15	0	-1	0	1500	jlm
16	0	1	0	3000	jlm
17	120	1	1	1500	jlm
18	420	1	1	200	jlm
19	240	-1	0	200	jlm
20	120	1	1	3000	jlm
21	-60	-1	0	3000	jlm
22	360	-1	1	700	jlm
23	0	1	0	1500	jlm
24	60	-1	0	1500	jlm
25	360	-1	1	3000	jlm
26	60	-1	0	700	jlm
27	0	1	0	700	jlm
28	60	1	0	700	jlm
29	240	1	1	700	jlm
30	300	1	1	700	jlm
31	240	-1	0	700	jlm
32	-60	1	0	3000	jlm
33	180	-1	1	200	jlm
34	0	1	0	200	jlm
35	120	-1	0	200	jlm
36	300	-1	0	3000	jlm
37	-60	1	0	1500	jlm
38	420	1	1	3000	jlm
39	60	-1	0	3000	jlm
40	60	-1	0	200	jlm
41	120	1	0	700	jlm
42	60	1	0	3000	jlm
43	120	-1	0	700	jlm
44	0	-1	0	3000	jlm
45	240	-1	1	3000	jlm
46	-60	-1	0	700	jlm
47	240	-1	0	1500	jlm
48	120	-1	0	3000	jlm
49	300	-1	0	700	jlm
50	120	-1	0	1500	jlm
51	180	1	1	3000	jlm
52	360	-1	1	1500	jlm
53	-60	1	0	200	jlm
54	180	-1	0	700	jlm
55	-60	1	0	700	jlm
56	120	1	0	200	jlm
57	420	-1	1	200	jlm
58	300	-1	1	200	jlm
59	300	1	1	200	jlm
60	60	1	0	1500	jlm
61	180	-1	0	1500	jlm
62	240	1	1	3000	jlm
63	180	1	0	1500	jlm
64	360	1	1	700	jlm
65	300	1	1	3000	jlm
66	180	1	1	700	jlm
67	420	-1	1	3000	jlm
68	-60	-1	0	200	jlm
69	420	-1	1	700	jlm
70	360	1	1	3000	jlm
71	420	-1	1	1500	jlm
0	60	1	1	200	jlm
1	0	1	0	1500	jlm
2	180	-1	0	200	jlm
3	60	-1	0	3000	jlm
4	360	-1	1	3000	jlm
5	180	1	0	3000	jlm
6	300	-1	1	1500	jlm
7	300	-1	0	3000	jlm
8	-60	1	0	1500	jlm
9	360	-1	1	200	jlm
10	60	-1	0	1500	jlm
11	180	-1	0	700	jlm
12	0	-1	0	1500	jlm
13	-60	-1	0	200	jlm
14	360	-1	1	1500	jlm
15	240	1	0	3000	jlm
16	300	1	1	3000	jlm
17	60	-1	0	200	jlm
18	-60	-1	0	700	jlm
19	120	-1	0	700	jlm
20	-60	1	0	700	jlm
21	420	-1	1	3000	jlm
22	180	1	0	700	jlm
23	120	1	0	200	jlm
24	180	1	0	1500	jlm
25	-60	-1	0	3000	jlm
26	420	1	1	1500	jlm
27	-60	1	0	3000	jlm
28	0	-1	0	700	jlm
29	300	1	1	700	jlm
30	360	1	1	3000	jlm
31	180	-1	0	3000	jlm
32	60	-1	0	700	jlm
33	240	-1	0	3000	jlm
34	60	1	0	3000	jlm
35	420	1	1	3000	jlm
36	300	1	1	1500	jlm
37	420	-1	1	1500	jlm
38	420	-1	1	200	jlm
39	120	1	0	1500	jlm
40	300	-1	1	200	jlm
41	240	1	1	700	jlm
42	60	1	0	1500	jlm
43	0	-1	0	200	jlm
44	0	1	0	700	jlm
45	60	1	0	700	jlm
46	360	-1	0	700	jlm
47	180	-1	0	1500	jlm
48	300	-1	1	700	jlm
49	-60	-1	0	1500	jlm
50	360	1	1	200	jlm
51	360	1	1	700	jlm
52	120	-1	0	200	jlm
53	240	-1	0	1500	jlm
54	420	1	1	200	jlm
55	240	-1	0	200	jlm
56	180	1	1	200	jlm
57	120	-1	0	3000	jlm
58	120	1	0	700	jlm
59	0	1	0	200	jlm
60	420	-1	1	700	jlm
61	240	1	1	1500	jlm
62	0	-1	0	3000	jlm
63	-60	1	0	200	jlm
64	240	-1	1	700	jlm
65	420	1	1	700	jlm
66	0	1	0	3000	jlm
67	120	-1	0	1500	jlm
68	300	1	1	200	jlm
69	240	1	1	200	jlm
70	360	1	1	1500	jlm
71	120	1	0	3000	jlm
0	240	-1	0	1500	jlm
1	360	1	1	700	jlm
2	60	-1	0	3000	jlm
3	420	-1	0	1500	jlm
4	-60	-1	0	3000	jlm
5	360	-1	0	700	jlm
6	300	-1	0	3000	jlm
7	180	-1	0	1500	jlm
8	300	-1	0	700	jlm
9	240	1	0	3000	jlm
10	240	-1	0	200	jlm
11	300	1	1	200	jlm
12	240	1	0	1500	jlm
13	-60	-1	0	200	jlm
14	0	-1	0	200	jlm
15	420	1	1	1500	jlm
16	120	1	1	200	jlm
17	420	1	1	700	jlm
18	360	-1	0	3000	jlm
19	300	1	1	700	jlm
20	420	-1	1	200	jlm
21	420	-1	1	700	jlm
22	60	1	0	700	jlm
23	300	1	1	1500	jlm
24	360	1	1	1500	jlm
25	-60	-1	0	1500	jlm
26	360	1	1	200	jlm
27	120	1	0	700	jlm
28	60	1	0	3000	jlm
29	-60	1	0	3000	jlm
30	180	-1	0	200	jlm
31	240	1	1	700	jlm
32	120	-1	0	200	jlm
33	60	1	0	1500	jlm
34	60	1	0	200	jlm
35	180	1	1	200	jlm
36	240	-1	0	700	jlm
37	420	1	1	3000	jlm
38	360	-1	0	1500	jlm
39	180	1	1	1500	jlm
40	360	1	1	3000	jlm
41	0	-1	0	3000	jlm
42	120	-1	0	1500	jlm
43	0	-1	0	1500	jlm
44	300	-1	1	200	jlm
45	420	-1	1	3000	jlm
46	-60	1	0	1500	jlm
47	0	1	0	1500	jlm
48	240	-1	0	3000	jlm
49	-60	-1	0	700	jlm
50	180	-1	0	3000	jlm
51	60	-1	0	1500	jlm
52	120	1	0	3000	jlm
53	180	1	1	700	jlm
54	120	-1	0	700	jlm
55	300	1	0	3000	jlm
56	120	-1	0	3000	jlm
57	-60	1	0	200	jlm
58	180	-1	0	700	jlm
59	180	1	1	3000	jlm
60	360	-1	1	200	jlm
61	60	-1	0	200	jlm
62	60	-1	0	700	jlm
63	240	1	1	200	jlm
64	0	1	0	700	jlm
65	300	-1	0	1500	jlm
66	0	1	0	3000	jlm
67	-60	1	0	700	jlm
68	120	1	0	1500	jlm
69	0	-1	0	700	jlm
70	0	1	0	200	jlm
71	420	1	1	200	jlm
0	360	-1	1	200	jlm
1	120	-1	0	700	jlm
2	300	1	1	3000	jlm
3	60	-1	0	200	jlm
4	120	-1	0	200	jlm
5	180	1	0	200	jlm
6	60	1	0	3000	jlm
7	0	1	0	700	jlm
8	300	1	1	1500	jlm
9	360	1	1	200	jlm
10	360	-1	1	700	jlm
11	0	-1	0	200	jlm
12	240	1	1	3000	jlm
13	-60	1	0	700	jlm
14	360	-1	1	3000	jlm
15	180	1	1	3000	jlm
16	0	1	0	3000	jlm
17	180	1	0	700	jlm
18	120	1	0	200	jlm
19	360	1	1	700	jlm
20	240	-1	0	200	jlm
21	420	-1	1	1500	jlm
22	-60	-1	0	200	jlm
23	240	1	1	200	jlm
24	-60	1	0	3000	jlm
25	420	-1	1	700	jlm
26	-60	1	0	1500	jlm
27	180	-1	0	3000	jlm
28	300	1	1	700	jlm
29	120	1	0	1500	jlm
30	300	-1	0	200	jlm
31	300	-1	1	700	jlm
32	60	-1	0	3000	jlm
33	60	1	0	1500	jlm
34	360	-1	1	1500	jlm
35	0	-1	0	3000	jlm
36	-60	-1	0	1500	jlm
37	60	-1	0	700	jlm
38	240	-1	0	3000	jlm
39	240	-1	0	1500	jlm
40	-60	1	0	200	jlm
41	180	1	1	1500	jlm
42	420	-1	1	3000	jlm
43	-60	-1	0	700	jlm
44	120	-1	0	3000	jlm
45	60	1	0	700	jlm
46	120	-1	0	1500	jlm
47	300	1	1	200	jlm
48	300	-1	1	1500	jlm
49	300	-1	0	3000	jlm
50	420	1	1	700	jlm
51	0	-1	0	700	jlm
52	240	1	1	1500	jlm
53	60	-1	0	1500	jlm
54	-60	-1	0	3000	jlm
55	420	1	1	1500	jlm
56	360	1	1	1500	jlm
57	240	1	0	700	jlm
58	120	1	0	700	jlm
59	240	-1	0	700	jlm
60	0	1	0	1500	jlm
61	180	-1	0	200	jlm
62	0	1	0	200	jlm
63	180	-1	0	1500	jlm
64	420	1	1	200	jlm
65	180	-1	0	700	jlm
66	420	-1	1	200	jlm
67	0	-1	0	1500	jlm
68	60	1	0	200	jlm
69	120	1	0	3000	jlm
70	360	1	0	3000	jlm
71	420	1	1	3000	jlm
0	300	1	1	1500	jlm
1	0	1	0	200	jlm
2	60	-1	0	200	jlm
3	300	1	1	700	jlm
4	0	1	0	3000	jlm
5	-60	-1	0	700	jlm
6	0	1	0	700	jlm
7	300	-1	0	700	jlm
8	360	1	1	700	jlm
9	420	1	1	700	jlm
10	0	-1	0	700	jlm
11	-60	-1	0	3000	jlm
12	120	1	1	700	jlm
13	420	-1	1	700	jlm
14	360	1	1	3000	jlm
15	240	-1	1	1500	jlm
16	180	-1	0	200	jlm
17	420	-1	1	1500	jlm
18	120	-1	0	200	jlm
19	360	-1	1	1500	jlm
20	420	1	1	1500	jlm
21	-60	1	0	3000	jlm
22	60	-1	0	1500	jlm
23	60	-1	0	700	jlm
24	300	-1	1	1500	jlm
25	420	1	1	3000	jlm
26	360	1	1	1500	jlm
27	-60	-1	0	1500	jlm
28	60	1	0	3000	jlm
29	120	-1	0	3000	jlm
30	0	-1	0	3000	jlm
31	180	-1	0	700	jlm
32	240	-1	0	3000	jlm
33	180	-1	0	1500	jlm
34	60	1	0	700	jlm
35	240	-1	0	700	jlm
36	180	-1	0	3000	jlm
37	120	1	0	3000	jlm
38	420	-1	1	3000	jlm
39	-60	-1	0	200	jlm
40	0	-1	0	200	jlm
41	300	1	1	3000	jlm
42	360	-1	1	3000	jlm
43	0	-1	0	1500	jlm
44	300	-1	0	3000	jlm
45	420	1	1	200	jlm
46	240	-1	1	200	jlm
47	180	1	1	1500	jlm
48	240	1	1	200	jlm
49	300	-1	1	200	jlm
50	120	-1	0	700	jlm
51	120	1	0	200	jlm
52	-60	1	0	700	jlm
53	60	1	0	1500	jlm
54	120	1	0	1500	jlm
55	120	-1	0	1500	jlm
56	240	1	0	700	jlm
57	180	1	1	3000	jlm
58	360	-1	1	200	jlm
59	300	1	1	200	jlm
60	60	1	0	200	jlm
61	360	-1	1	700	jlm
62	60	-1	0	3000	jlm
63	180	1	0	200	jlm
64	0	1	0	1500	jlm
65	420	-1	1	200	jlm
66	-60	1	0	1500	jlm
67	180	1	0	700	jlm
68	240	1	1	1500	jlm
69	360	1	1	200	jlm
70	240	1	1	3000	jlm
71	-60	1	0	200	jlm
0	240	0	0	700	jlm
1	120	0	0	200	jlm
2	0	0	0	3000	jlm
3	180	0	1	700	jlm
4	60	0	0	200	jlm
5	300	0	0	700	jlm
6	-60	0	0	200	jlm
7	180	0	1	700	jlm
8	-60	0	0	1500	jlm
9	300	0	0	700	jlm
10	60	0	0	1500	jlm
11	60	0	0	3000	jlm
12	300	0	1	200	jlm
13	240	0	1	1500	jlm
14	360	0	1	700	jlm
15	0	0	0	200	jlm
16	120	0	0	3000	jlm
17	240	0	0	3000	jlm
18	-60	0	0	700	jlm
19	-60	0	0	1500	jlm
20	360	0	1	1500	jlm
21	60	0	0	200	jlm
22	300	0	1	1500	jlm
23	420	0	1	700	jlm
24	-60	0	0	3000	jlm
25	-60	0	0	3000	jlm
26	-60	0	0	200	jlm
27	120	0	0	1500	jlm
28	240	0	1	700	jlm
29	420	0	1	3000	jlm
30	60	0	0	1500	jlm
31	300	0	1	3000	jlm
32	0	0	0	700	jlm
33	420	0	0	3000	jlm
34	420	0	1	200	jlm
35	0	0	0	200	jlm
36	420	0	0	1500	jlm
37	180	0	0	3000	jlm
38	180	0	0	200	jlm
39	-60	0	1	700	jlm
40	180	0	0	1500	jlm
41	180	0	0	3000	jlm
42	60	0	0	700	jlm
43	0	0	0	3000	jlm
44	0	0	0	1500	jlm
45	120	0	0	1500	jlm
46	420	0	1	200	jlm
47	60	0	0	3000	jlm
48	120	0	0	700	jlm
49	300	0	0	3000	jlm
50	0	0	0	700	jlm
51	0	0	0	1500	jlm
52	120	0	0	700	jlm
53	360	0	1	3000	jlm
54	360	0	1	200	jlm
55	240	0	0	1500	jlm
56	120	0	0	3000	jlm
57	360	0	1	3000	jlm
58	420	0	1	1500	jlm
59	120	0	0	200	jlm
60	360	0	0	1500	jlm
61	300	0	0	1500	jlm
62	420	0	1	700	jlm
63	180	0	1	200	jlm
64	300	0	0	200	jlm
65	240	0	0	200	jlm
66	360	0	1	700	jlm
67	240	0	1	200	jlm
68	180	0	1	1500	jlm
69	360	0	1	200	jlm
70	240	0	0	3000	jlm
71	60	0	0	700	jlm
0	180	0	0	200	jlm
1	300	0	0	3000	jlm
2	60	0	0	200	jlm
3	180	0	0	3000	jlm
4	180	0	1	200	jlm
5	0	0	0	200	jlm
6	240	0	0	700	jlm
7	-60	0	0	3000	jlm
8	240	0	0	3000	jlm
9	180	0	0	1500	jlm
10	240	0	0	1500	jlm
11	420	0	1	200	jlm
12	240	0	1	200	jlm
13	180	0	0	1500	jlm
14	0	0	0	1500	jlm
15	-60	0	0	200	jlm
16	360	0	1	1500	jlm
17	300	0	1	200	jlm
18	0	0	0	1500	jlm
19	-60	0	0	700	jlm
20	360	0	0	3000	jlm
21	120	0	1	200	jlm
22	120	0	0	1500	jlm
23	360	0	0	3000	jlm
24	420	0	1	3000	jlm
25	0	0	0	3000	jlm
26	180	0	0	700	jlm
27	0	0	0	700	jlm
28	360	0	1	200	jlm
29	120	0	0	700	jlm
30	180	0	1	700	jlm
31	0	0	0	700	jlm
32	60	0	0	1500	jlm
33	60	0	0	200	jlm
34	360	0	1	700	jlm
35	120	0	0	700	jlm
36	300	0	0	3000	jlm
37	0	0	0	200	jlm
38	360	0	0	700	jlm
39	60	0	0	700	jlm
40	420	0	1	700	jlm
41	240	0	0	700	jlm
42	420	0	1	700	jlm
43	420	0	1	1500	jlm
44	60	0	0	1500	jlm
45	240	0	1	3000	jlm
46	-60	0	0	1500	jlm
47	420	0	1	3000	jlm
48	300	0	1	1500	jlm
49	120	0	0	3000	jlm
50	360	0	1	200	jlm
51	120	0	0	3000	jlm
52	-60	0	0	3000	jlm
53	240	0	1	200	jlm
54	-60	0	0	200	jlm
55	360	0	0	1500	jlm
56	300	0	1	700	jlm
57	60	0	0	3000	jlm
58	60	0	1	3000	jlm
59	0	0	0	3000	jlm
60	300	0	0	1500	jlm
61	120	0	0	1500	jlm
62	420	0	1	200	jlm
63	120	0	0	200	jlm
64	420	0	1	1500	jlm
65	300	0	0	700	jlm
66	180	0	0	3000	jlm
