subject	cond	speed	phase	response
jlm	control	10.2	2	1
jlm	control	3	0.912	1
jlm	control	5.4	0.912	1
jlm	control	7.8	0.012	0
jlm	control	5.4	0.331	1
jlm	control	10.2	1.45	1
jlm	control	3	-0.25	0
jlm	control	5.4	-0.056	0
jlm	control	5.4	0.525	1
jlm	control	12.6	0.719	1
jlm	control	10.2	0.625	1
jlm	control	15	1.825	1
jlm	control	15	1.15	1
jlm	control	3	0.137	0
jlm	control	15	-0.2	0
jlm	control	12.6	1.944	1
jlm	control	7.8	-0.2	0
jlm	control	7.8	0.225	0
jlm	control	7.8	1.5	1
jlm	control	12.6	0.412	0
jlm	control	5.4	0.719	1
jlm	control	15	2.5	1
jlm	control	5.4	-0.25	0
jlm	control	7.8	0.862	1
jlm	control	10.2	0.075	1
jlm	control	3	0.331	1
jlm	control	10.2	-0.2	0
jlm	control	15	0.475	0
jlm	control	12.6	1.331	1
jlm	control	12.6	0.106	0
jlm	control	12.6	-0.2	0
jlm	control	15	2.162	1
jlm	control	10.2	1.725	1
jlm	control	5.4	0.137	0
jlm	control	3	1.1	1
jlm	control	3	0.719	1
jlm	control	5.4	1.3	1
jlm	control	12.6	1.638	1
jlm	control	15	0.138	0
jlm	control	5.4	1.1	1
jlm	control	3	-0.056	0
jlm	control	7.8	1.075	1
jlm	control	10.2	0.9	0
jlm	control	12.6	2.25	1
jlm	control	3	1.3	1
jlm	control	12.6	1.025	1
jlm	control	7.8	0.65	1
jlm	control	7.8	0.438	0
jlm	control	10.2	0.35	0
jlm	control	3	0.525	1
jlm	control	10.2	1.175	1
jlm	control	15	1.488	1
jlm	control	7.8	1.288	1
jlm	control	15	0.812	0
jlm	control	15	1.15	1
jlm	control	7.8	0.438	0
jlm	control	5.4	0.137	0
jlm	control	15	0.138	0
jlm	control	3	0.719	1
jlm	control	15	2.5	1
jlm	control	5.4	0.912	1
jlm	control	10.2	0.625	0
jlm	control	15	-0.2	0
jlm	control	12.6	0.106	0
jlm	control	12.6	1.944	1
jlm	control	12.6	0.719	0
jlm	control	5.4	1.1	1
jlm	control	3	0.331	0
jlm	control	15	0.475	0
jlm	control	5.4	0.719	1
jlm	control	5.4	-0.25	0
jlm	control	5.4	0.331	1
jlm	control	3	0.525	1
jlm	control	7.8	1.288	1
jlm	control	7.8	-0.2	0
jlm	control	3	1.1	1
jlm	control	12.6	1.025	1
jlm	control	15	2.162	1
jlm	control	10.2	1.725	1
jlm	control	7.8	0.225	0
jlm	control	3	0.137	0
jlm	control	10.2	0.9	1
jlm	control	7.8	0.862	1
jlm	control	12.6	-0.2	0
jlm	control	12.6	0.412	0
jlm	control	7.8	0.65	1
jlm	control	12.6	1.331	1
jlm	control	3	1.3	1
jlm	control	12.6	2.25	1
jlm	control	5.4	0.525	1
jlm	control	10.2	0.35	1
jlm	control	10.2	-0.2	0
jlm	control	15	1.825	1
jlm	control	7.8	1.5	1
jlm	control	10.2	1.45	1
jlm	control	5.4	1.3	1
jlm	control	3	-0.056	0
jlm	control	15	0.812	0
jlm	control	10.2	0.075	0
jlm	control	7.8	0.012	0
jlm	control	12.6	1.638	1
jlm	control	3	-0.25	0
jlm	control	10.2	1.175	1
jlm	control	3	0.912	1
jlm	control	7.8	1.075	1
jlm	control	15	1.488	0
jlm	control	5.4	-0.056	0
jlm	control	10.2	2	1
jlm	control	5.4	-0.056	0
jlm	control	12.6	0.106	0
jlm	control	10.2	1.725	1
jlm	control	3	1.3	1
jlm	control	7.8	0.438	1
jlm	control	15	2.162	1
jlm	control	10.2	0.35	0
jlm	control	10.2	-0.2	0
jlm	control	5.4	1.3	1
jlm	control	3	-0.056	0
jlm	control	5.4	0.719	1
jlm	control	3	0.525	1
jlm	control	7.8	1.5	1
jlm	control	7.8	0.65	1
jlm	control	15	-0.2	0
jlm	control	7.8	0.012	0
jlm	control	15	0.138	0
jlm	control	10.2	1.175	1
jlm	control	12.6	-0.2	0
jlm	control	10.2	0.625	1
jlm	control	3	1.1	1
jlm	control	12.6	1.331	1
jlm	control	7.8	0.225	0
jlm	control	15	1.825	1
jlm	control	15	1.15	1
jlm	control	15	1.488	1
jlm	control	7.8	1.288	1
jlm	control	15	2.5	1
jlm	control	12.6	1.944	1
jlm	control	3	0.137	0
jlm	control	15	0.812	0
jlm	control	3	0.912	1
jlm	control	12.6	0.719	0
jlm	control	12.6	0.412	1
jlm	control	3	-0.25	0
jlm	control	5.4	0.525	1
jlm	control	12.6	1.025	0
jlm	control	10.2	2	1
jlm	control	5.4	0.331	1
jlm	control	3	0.719	1
jlm	control	10.2	0.075	0
jlm	control	15	0.475	0
jlm	control	5.4	1.1	1
jlm	control	5.4	-0.25	0
jlm	control	5.4	0.912	1
jlm	control	7.8	0.862	1
jlm	control	10.2	0.9	1
jlm	control	12.6	2.25	1
jlm	control	7.8	1.075	1
jlm	control	10.2	1.45	1
jlm	control	7.8	-0.2	0
jlm	control	5.4	0.137	0
jlm	control	3	0.331	1
jlm	control	12.6	1.638	1
jlm	control	12.6	0.412	1
jlm	control	10.2	-0.2	0
jlm	control	7.8	1.5	1
jlm	control	3	1.3	1
jlm	control	12.6	1.331	1
jlm	control	10.2	0.9	0
jlm	control	15	1.15	1
jlm	control	12.6	-0.2	1
jlm	control	5.4	-0.056	0
jlm	control	10.2	2	1
jlm	control	7.8	0.225	0
jlm	control	5.4	1.3	1
jlm	control	12.6	0.719	1
jlm	control	15	2.162	1
jlm	control	7.8	0.012	0
jlm	control	3	0.719	1
jlm	control	7.8	0.65	1
jlm	control	15	1.488	1
jlm	control	5.4	0.137	1
jlm	control	5.4	0.331	0
